Event	ID	Name			Wwise Object Path	Notes
	103321515	Play_Mando_Kill_Voice			\Default Work Unit\Mando\Play_Mando_Kill_Voice	
	192623117	Pause_Object			\Default Work Unit\Pause_Object	
	329581270	Play_Footsteps_Sand_Mando			\Default Work Unit\Mando\Play_Footsteps_Sand_Mando	
	373760516	Play_Dash_Transition			\Default Work Unit\Mando\Play_Dash_Transition	
	500889257	Play_Footsteps_Snow_Mando			\Default Work Unit\Mando\Play_Footsteps_Snow_Mando	
	574956741	Play_Sniper_Cooldown_Finish			\Default Work Unit\Mando\Play_Sniper_Cooldown_Finish	
	1184164898	Play_Mando_Damaging_Water			\Default Work Unit\Mando\Play_Mando_Damaging_Water	
	1398027825	Play_Footsteps_Water_Mando			\Default Work Unit\Mando\Play_Footsteps_Water_Mando	
	1421476365	Play_Footsteps_Metal_Platform_Mando			\Default Work Unit\Mando\Play_Footsteps_Metal_Platform_Mando	
	1931338186	Resume_Object			\Default Work Unit\Resume_Object	
	2203710711	Play_Mando_Hit			\Default Work Unit\Mando\Play_Mando_Hit	
	2211787386	Play_Dash			\Default Work Unit\Mando\Play_Dash	
	2246675260	Play_Mando_Blaster_Overcharged			\Default Work Unit\Mando\Play_Mando_Blaster_Overcharged	
	2270035798	Play_Mando_Death			\Default Work Unit\Mando\Play_Mando_Death	
	2559120509	Play_Sniper_Shoot_Mando			\Default Work Unit\Mando\Play_Sniper_Shoot_Mando	
	3216889748	Play_Mando_Clean_Room_Voice			\Default Work Unit\Mando\Play_Mando_Clean_Room_Voice	
	3318621861	Stop_Object			\Default Work Unit\Stop_Object	
	3328919274	Play_Grenade_Cooldown_Finish			\Default Work Unit\Mando\Play_Grenade_Cooldown_Finish	
	3416257419	Play_Blaster_Shoot_Mando			\Default Work Unit\Mando\Play_Blaster_Shoot_Mando	
	3454536245	Play_Mando_Grenade_Charge_1			\Default Work Unit\Mando\Play_Mando_Grenade_Charge_1	
	3454536246	Play_Mando_Grenade_Charge_2			\Default Work Unit\Mando\Play_Mando_Grenade_Charge_2	
	3924203421	Play_Mando_Grenade_Explosion_2			\Default Work Unit\Mando\Play_Mando_Grenade_Explosion_2	
	3924203422	Play_Mando_Grenade_Explosion_1			\Default Work Unit\Mando\Play_Mando_Grenade_Explosion_1	
	3935346668	Play_Mando_Respawn			\Default Work Unit\Mando\Play_Mando_Respawn	
	4068193085	Play_Mando_Grenade_Nail			\Default Work Unit\Mando\Play_Mando_Grenade_Nail	

Switch Group	ID	Name			Wwise Object Path	Notes
	354267144	Terrain			\Default Work Unit\Terrain	
	3893417221	Weapon			\Default Work Unit\Weapon	

Switch	ID	Name	Switch Group			Notes
	787898836	Snow	Terrain			
	803837735	Sand	Terrain			
	1216965916	Stone	Terrain			
	1700698134	Stone_sandy	Terrain			
	2058049674	Wood	Terrain			
	868398948	Blaster	Weapon			
	2550763292	Sniper	Weapon			

Game Parameter	ID	Name			Wwise Object Path	Notes
	467158820	SourceVolume			\Default Work Unit\SourceVolume	
	1547598200	SourcePitch			\Default Work Unit\SourcePitch	
	2704707011	BusVolume			\Default Work Unit\BusVolume	

Audio Bus	ID	Name			Wwise Object Path	Notes
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	115483636	Grenade cooldown finish	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Grenade cooldown finish_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Grenade cooldown finish		72164
	138684971	Sniper cooldown finish	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Sniper cooldown finish_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Sniper cooldown finish		136488
	151403726	Footstep mando water 3	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep mando water 3_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Footsteps_Mando\Footsteps water\Footstep mando water 3		47420
	163793026	Sniper shot	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Sniper shot_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Weapon_Shoot_Mando\Sniper shot		144812
	180750331	Footstep mando snow 4	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep mando snow 4_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Footsteps_Mando\Footsteps snow\Footstep mando snow 4		43084
	211480778	Mando water hit 3	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Mando water hit 3_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Mando water hit\Mando water hit 3		19172
	217252079	Footstep metal platform 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep metal platform 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Footsteps_Mando\Footsteps metal platform\Footstep metal platform 1		34080
	218041158	Mando hit 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Mando hit 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Mando_Hit\Mando hit 1		89636
	222927635	Footstep sand 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep sand 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Footsteps_Mando\Footsteps sand\Footstep sand 1		42028
	235402370	Footstep metal platform 5	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Footstep metal platform 5_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Footsteps_Mando\Footsteps metal platform\Footstep metal platform 5		37728
	236232383	Mando voice 2	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Mando voice 2_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Mando_Kill_Voice\Mando voice 2		145388
	280654454	Grenade nail 1	C:\Users\admin\Documents\GitHub\Wwise-project\Virtual Ragnarok Audio\.cache\Windows\SFX\Grenade nail 1_FC2D3A10.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mando\Grenade nail 1		146124
